gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
AL121603.2,2,126,126,126,0,21,105,0.8333333333333334,1.0,-0.5566333627693398,-0.6376898172872867,0.7941765848009362,2.125209725636476,2.784652757000506,replogle;sciplex3
TMEM175,2,108,108,108,0,18,90,0.8333333333333334,1.0,-0.8725471681736793,-0.6490984268256359,1.0814045037176778,3.356666777937656,3.6721369847778775,replogle;sciplex3
SLC12A7,2,102,102,102,0,17,85,0.8333333333333334,1.0,-0.813140856378854,-0.6525709731560949,1.1440110575701519,3.0161788481273493,3.8378467369192224,replogle;sciplex3
B4GALT4,2,54,54,54,0,9,45,0.8333333333333334,1.0,-0.8104503304939961,-0.6026123446634423,0.9932954320882408,3.010091010857239,2.8811571827523967,replogle;sciplex3
FUOM,2,42,42,42,0,7,35,0.8333333333333334,1.0,-1.474921842807171,-2.508482192827735,1.9666844036943594,2.6829418007385373,5.354194892525142,replogle;sciplex3
ETHE1,2,36,36,36,0,6,30,0.8333333333333334,1.0,-1.0631780873559256,-0.7485464182852899,1.27122496741766,3.163322125577357,3.322561975968973,replogle;sciplex3
CHEK2,2,36,36,36,0,6,30,0.8333333333333334,1.0,-0.6507866518299362,-0.6621374427827584,0.7901694916885451,4.131486542138568,2.0652419319518627,replogle;sciplex3
PHTF1,2,36,36,36,0,6,30,0.8333333333333334,1.0,-0.5243571806090005,-0.5358655762577402,0.7471985032759432,4.253095433417004,1.9529299684293537,replogle;sciplex3
MCOLN1,2,30,30,30,0,5,25,0.8333333333333334,1.0,-1.3255699662639926,-1.3382765412546935,1.5070483794179137,2.784587654436211,3.7459237063648256,replogle;sciplex3
MICB,2,30,30,30,0,5,25,0.8333333333333334,1.0,-0.6191817133275007,-0.6373894813768353,1.2790785142284713,2.7162528482958894,3.1792811658779963,replogle;sciplex3
TRAFD1,2,30,30,30,0,5,25,0.8333333333333334,1.0,-1.0249953014084991,-0.7321715497950202,1.185173137576432,3.3852436577043457,2.9458696965714455,replogle;sciplex3
AC093157.1,2,30,30,30,0,5,25,0.8333333333333334,1.0,-0.675385895332284,-0.6287601693947453,0.8884394269709285,4.166436607004427,2.208307547794191,replogle;sciplex3
CIC,2,30,30,30,0,5,25,0.8333333333333334,1.0,-0.655897241414796,-0.5878066106300135,0.8290656699724889,2.9336263601261416,2.060727969783362,replogle;sciplex3
AASDH,2,24,24,24,0,4,20,0.8333333333333334,1.0,-0.6689821244192892,-0.6485645706168426,0.8347121904336947,3.1830347327278283,1.9447959445558913,replogle;sciplex3
SNAPC3,2,24,24,24,0,4,20,0.8333333333333334,1.0,-0.629266033168736,-0.5387487481553093,0.7867794775200334,3.8480501605854416,1.8331175160455613,replogle;sciplex3
TMEM237,2,18,18,18,0,3,15,0.8333333333333334,1.0,-1.0406159915905198,-1.2067324551817515,1.6365171489235129,2.577815218553646,3.4878369953449986,replogle;sciplex3
DAPK3,2,18,18,18,0,3,15,0.8333333333333334,1.0,-0.9785726004978916,-0.6298880397364293,1.1324797812772522,3.1902854635463496,2.4136043305242643,replogle;sciplex3
ARID3B,2,18,18,18,0,3,15,0.8333333333333334,1.0,-0.7784735790103368,-0.5214964279961456,0.9599975198718117,3.182526523957725,2.0460004757364403,replogle;sciplex3
KRT8,2,18,18,16,2,15,3,0.8333333333333334,1.0,0.5269050213951751,0.6898576481936769,0.7455076370754015,1.2282246271307855,1.588867625746674,norman;replogle
EXTL3,2,18,18,18,0,3,15,0.8333333333333334,1.0,-0.508925338756907,-0.5088073054241185,0.7122744091560061,3.4664431257907604,1.5180391092913192,replogle;sciplex3
DDX39A,2,12,12,12,0,2,10,0.8333333333333334,1.0,-2.109882575938461,-2.973265573306433,2.3780177503244446,3.5960633915333147,4.414961774402624,replogle;sciplex3
XRCC1,2,12,12,12,0,2,10,0.8333333333333334,1.0,-2.0637487203970175,-2.9825410863564654,2.235690059838887,3.5564652431138173,4.150720133293338,replogle;sciplex3
ZBTB37,2,12,12,12,0,2,10,0.8333333333333334,1.0,-1.8394368623334196,-1.9619786918969453,1.976363104701033,4.029745874175397,3.669260903710361,replogle;sciplex3
NEURL1,2,12,12,11,1,10,2,0.8333333333333334,1.0,1.2003932616842314,1.6883665239710863,1.9533958136176413,2.773903372948458,3.6266204683389605,norman;sciplex3
KIAA0391,2,12,12,10,2,2,10,0.8333333333333334,1.0,-1.0958380596400603,-1.7936144975117059,1.9175809101774783,2.5266702587938585,3.560127512337826,norman;sciplex3
LINC00885,2,12,12,11,1,2,10,0.8333333333333334,1.0,-1.418003085058361,-1.4834248713708054,1.8724244714305394,3.076471327652215,3.47629132107782,norman;sciplex3
UBXN8,2,12,12,12,0,2,10,0.8333333333333334,1.0,-1.3481161416595855,-1.3089963847968138,1.6782565209841953,3.005904901298002,3.1158044916932397,replogle;sciplex3
FBXL12,2,12,12,12,0,2,10,0.8333333333333334,1.0,-1.3854391624653228,-0.7537564835510471,1.6048858291556583,3.6476947979399914,2.9795865009989857,replogle;sciplex3
APTR,2,12,12,12,0,2,10,0.8333333333333334,1.0,-1.336742748072682,-1.0098348009860465,1.559060851602352,3.587748008574428,2.89450911914046,replogle;sciplex3
PLEKHN1,2,12,12,10,2,2,10,0.8333333333333334,1.0,-0.6983878795990776,-1.224698071662664,1.450152310245775,2.333483326732156,2.6923125430511377,dixit;sciplex3
C15orf48,2,12,12,7,5,10,2,0.8333333333333334,1.0,1.0149755394475561,1.1540832718300893,1.437462631017259,2.8629372026380357,2.668753236685285,adamson;sciplex3
METTL23,2,12,12,12,0,2,10,0.8333333333333334,1.0,-0.8111332293187282,-0.7557497251342269,0.9976199072613242,3.4687470916730723,1.8521534397045252,replogle;sciplex3
CHIC2,2,12,12,12,0,2,10,0.8333333333333334,1.0,-0.6175608213927287,-0.5476174549820356,0.81739735855141,3.0203794665499375,1.5175572562525186,replogle;sciplex3
PHC3,2,12,12,10,2,2,10,0.8333333333333334,1.0,-0.5296777410568947,-0.7415806055004281,0.7078902757133009,1.243785881755682,1.3142494446558088,adamson;replogle
TNKS,2,12,12,11,1,2,10,0.8333333333333334,1.0,-0.42438200018517175,-0.5773000262575708,0.6104995005013458,1.1279939134025816,1.1334364336168643,adamson;replogle
MAST3,2,6,6,4,2,1,5,0.8333333333333334,1.0,-2.3460132352946297,-3.4334856028120804,2.4796481046838648,3.5220722041168266,3.492576255322335,adamson;sciplex3
